,coffee_id,species,country_of_origin,continent,total_cup_points,cupper_points,aroma,flavor,aftertaste,acidity,body,balance,high_quality
22,23,Arabica,Mexico,North America,87.17,8.58,8.17,8.25,8.17,8.0,7.83,8.17,1
23,24,Arabica,United States of America,North America,87.08,8.17,8.25,8.33,8.17,8.17,7.83,8.17,1
24,25,Arabica,Ethiopia,Africa,87.08,8.08,8.42,8.17,7.92,8.17,8.33,8.0,1
25,26,Arabica,Brazil,South America,86.92,7.92,8.5,8.5,8.0,8.0,8.0,8.0,1
26,27,Arabica,Ethiopia,Africa,86.92,8.25,7.83,8.25,8.08,8.17,8.17,8.17,1
27,28,Arabica,Uganda,Africa,86.83,8.17,8.42,8.17,8.17,8.17,7.83,7.92,1
28,29,Arabica,Honduras,North America,86.67,8.25,8.17,8.08,8.08,8.0,8.08,8.0,1
29,30,Arabica,Taiwan,Asia,86.58,8.17,8.0,8.0,8.0,8.25,8.0,8.17,1
30,31,Arabica,Nicaragua,North America,86.58,8.0,7.92,8.25,8.0,8.33,8.0,8.08,1
31,32,Arabica,Tanzania,Africa,86.5,8.17,8.42,8.17,8.17,8.0,7.58,8.0,1
32,33,Arabica,Brazil,South America,86.42,8.0,8.5,8.17,8.0,7.75,8.0,8.0,1
33,34,Arabica,Costa Rica,North America,86.33,8.42,8.17,7.83,8.0,8.08,7.83,8.0,1
34,35,Arabica,Ethiopia,Africa,86.25,8.08,8.0,8.08,7.92,8.0,8.08,8.08,1
35,36,Arabica,Kenya,Africa,86.25,8.08,8.08,8.0,8.0,8.25,7.92,7.92,1
36,37,Arabica,United States of America,North America,86.25,8.33,8.08,8.17,8.0,7.92,7.92,7.83,1
37,38,Arabica,United States of America,North America,86.25,8.25,8.25,8.42,8.08,7.75,7.67,7.83,1
38,39,Arabica,Ethiopia,Africa,86.25,8.17,7.92,7.75,8.08,8.08,8.08,8.17,1
39,40,Arabica,United States of America,North America,86.17,8.08,7.67,8.17,8.0,8.0,8.17,8.08,1
40,41,Arabica,Thailand,Asia,86.17,8.42,7.83,8.33,7.83,8.25,7.58,7.92,1
41,42,Arabica,Brazil,South America,86.17,8.08,8.17,7.92,7.92,7.75,8.33,8.0,1
42,43,Arabica,Brazil,South America,86.17,8.17,8.42,7.92,8.0,7.75,7.92,8.0,1
43,44,Arabica,Taiwan,Asia,86.08,8.42,8.08,8.17,7.75,8.08,7.75,7.83,1
44,45,Arabica,Kenya,Africa,86.08,8.0,8.08,8.08,8.0,8.0,7.83,8.08,1
45,46,Arabica,Brazil,South America,86.08,8.0,8.33,8.0,8.0,8.0,7.75,8.0,1
46,47,Arabica,Uganda,Africa,86.0,8.08,8.08,8.08,7.83,7.92,8.08,7.92,1
47,48,Arabica,Colombia,South America,86.0,8.17,7.75,7.92,7.83,8.08,8.08,8.17,1
48,49,Arabica,Kenya,Africa,86.0,8.17,7.92,8.17,7.83,8.5,7.5,7.92,1
49,50,Arabica,Uganda,Africa,86.0,7.92,8.25,8.0,7.83,8.08,8.0,7.92,1
50,51,Arabica,Ethiopia,Africa,86.0,7.92,7.75,8.08,8.0,8.25,8.0,8.0,1
51,52,Arabica,United States of America,North America,86.0,8.17,8.33,8.17,7.75,8.0,7.75,7.83,1
52,53,Arabica,Guatemala,North America,85.92,8.0,7.92,8.08,7.92,8.08,8.08,7.83,1
53,54,Arabica,Uganda,Africa,85.92,8.0,8.17,8.17,7.92,8.08,7.83,7.75,1
54,55,Arabica,Colombia,South America,85.92,7.92,8.0,8.0,8.0,8.17,7.83,8.0,1
55,56,Arabica,Panama,North America,85.83,8.0,8.0,8.0,7.92,8.08,7.83,8.0,1
56,57,Arabica,Ethiopia,Africa,85.83,8.0,7.83,8.08,7.92,8.08,8.0,7.92,1
57,58,Arabica,Guatemala,North America,85.83,8.0,7.83,8.0,8.0,8.17,7.83,8.0,1
58,59,Arabica,Guatemala,North America,85.83,8.0,8.0,8.0,7.83,8.33,7.83,7.83,1
59,60,Arabica,Ethiopia,Africa,85.75,8.0,7.83,8.0,7.83,8.17,7.92,8.0,1
60,61,Arabica,Peru,South America,85.75,8.0,8.0,8.0,8.0,8.08,7.92,7.75,1
61,62,Arabica,Papua New Guinea,Oceania,85.75,7.92,8.33,8.42,7.83,8.33,8.0,8.25,1
62,63,Arabica,El Salvador,North America,85.58,8.0,7.92,8.17,8.0,7.92,7.75,7.83,1
63,64,Arabica,El Salvador,North America,85.58,7.92,7.83,8.0,8.0,7.75,7.92,8.17,1
64,65,Arabica,United States of America,North America,85.58,8.0,7.83,8.0,7.92,7.75,8.08,8.0,1
65,66,Arabica,Panama,North America,85.5,7.83,8.0,7.75,7.83,7.83,7.67,8.58,1
66,67,Arabica,Kenya,Africa,85.5,8.0,7.92,7.92,7.83,8.08,7.83,7.92,1
67,68,Arabica,Ethiopia,Africa,85.5,8.0,7.83,8.0,7.83,7.92,7.83,8.08,1
68,69,Arabica,Uganda,Africa,85.5,8.08,8.33,7.92,7.67,7.92,7.67,7.92,1
69,70,Arabica,Guatemala,North America,85.5,7.83,8.0,7.83,7.67,8.33,7.83,8.0,1
70,71,Arabica,Ethiopia,Africa,85.42,8.08,7.75,7.83,7.83,8.17,7.92,7.83,1
71,72,Arabica,Uganda,Africa,85.42,8.0,8.08,8.0,7.83,7.67,8.0,7.83,1
72,73,Arabica,United States of America,North America,85.42,8.25,7.92,7.92,7.75,7.92,7.75,7.92,1
73,74,Arabica,Brazil,South America,85.42,8.0,8.0,8.0,8.0,7.67,7.75,8.0,1
74,75,Arabica,El Salvador,North America,85.42,7.92,8.08,7.83,7.83,8.08,7.83,7.83,1
75,76,Arabica,China,Asia,85.33,7.92,8.0,8.0,8.0,7.83,7.83,7.75,1
76,77,Arabica,Guatemala,North America,85.33,7.83,7.83,7.75,7.83,7.67,7.83,8.58,1
77,78,Arabica,Costa Rica,North America,85.33,8.0,7.92,8.08,8.0,7.92,8.0,8.08,1
78,79,Arabica,Costa Rica,North America,85.33,7.92,8.0,7.58,7.58,7.67,8.08,8.5,1
79,80,Arabica,Kenya,Africa,85.33,7.92,7.83,8.08,7.75,8.08,7.92,7.75,1
80,81,Arabica,Kenya,Africa,85.33,7.83,8.0,7.92,7.92,8.08,7.83,7.75,1
81,82,Arabica,Ethiopia,Africa,85.33,8.08,7.83,7.83,7.92,8.08,7.75,7.83,1
82,83,Arabica,Ethiopia,Africa,85.33,8.0,7.92,7.83,7.75,8.33,7.75,7.75,1
83,84,Arabica,Guatemala,North America,85.25,7.83,8.0,7.92,7.75,8.0,7.92,7.83,1
84,85,Arabica,Colombia,South America,85.25,7.92,8.17,7.92,7.83,8.0,7.58,7.83,1
85,86,Arabica,Colombia,South America,85.25,7.92,7.58,8.08,7.92,7.83,8.0,7.92,1
86,87,Arabica,Indonesia,Asia,85.17,8.0,7.75,7.83,7.67,8.0,8.08,7.83,1
87,88,Arabica,Guatemala,North America,85.17,7.92,8.25,8.0,7.67,7.92,7.75,7.67,1
88,89,Arabica,Ethiopia,Africa,85.08,7.83,7.75,8.0,7.58,8.0,8.0,7.92,1
89,90,Arabica,Colombia,South America,85.08,7.67,8.17,7.83,7.58,8.08,8.0,7.75,1
90,91,Arabica,Ethiopia,Africa,85.08,8.08,8.42,8.0,7.42,8.0,7.92,7.92,1
91,92,Arabica,United States of America,North America,85.08,7.92,7.58,7.83,7.83,7.92,7.83,8.17,1
92,93,Arabica,Colombia,South America,85.08,8.08,7.83,8.0,7.75,7.75,7.83,7.83,1
93,94,Arabica,United States of America,North America,85.08,8.17,8.08,8.17,7.92,8.0,8.08,8.0,1
94,95,Arabica,Ethiopia,Africa,85.08,7.83,7.67,8.0,7.83,8.0,7.92,7.83,1
95,96,Arabica,United States of America,North America,85.08,7.92,7.5,7.92,8.25,7.83,7.92,7.75,1
96,97,Arabica,Uganda,Africa,85.0,8.0,8.17,7.92,7.75,7.75,7.67,7.75,1
97,98,Arabica,Colombia,South America,85.0,7.83,8.0,7.92,7.75,7.92,7.75,7.83,1
98,99,Arabica,Costa Rica,North America,85.0,7.92,7.83,8.0,7.58,7.92,7.92,7.83,1
99,100,Arabica,Mexico,North America,85.0,8.08,7.83,8.0,7.83,7.75,7.67,7.83,1
100,101,Arabica,Kenya,Africa,85.0,7.83,8.17,7.83,7.92,7.75,7.67,7.83,1
101,102,Arabica,Kenya,Africa,85.0,7.83,7.75,7.83,7.75,8.08,8.0,7.75,1
102,103,Arabica,Brazil,South America,85.0,8.0,8.0,8.0,7.83,7.83,7.67,7.67,1
103,104,Arabica,Mexico,North America,85.0,7.83,7.92,8.17,7.75,8.08,7.42,7.83,1
104,105,Arabica,United States of America,North America,85.0,7.83,7.75,7.92,7.75,7.75,8.0,8.0,1
105,106,Arabica,Guatemala,North America,85.0,8.0,7.83,8.08,7.67,8.0,7.75,7.67,1
106,107,Arabica,Colombia,South America,84.92,7.83,7.92,7.92,7.67,7.83,7.92,7.83,1
107,108,Arabica,Colombia,South America,84.92,7.83,7.92,7.83,7.75,7.83,7.75,8.0,1
108,109,Arabica,Taiwan,Asia,84.92,7.92,7.67,7.83,8.0,7.58,8.0,7.92,1
109,110,Arabica,Tanzania,Africa,84.92,7.83,8.0,7.83,7.83,7.92,7.75,7.75,1
110,111,Arabica,Colombia,South America,84.92,7.92,7.75,7.92,7.83,7.75,7.75,8.0,1
111,112,Arabica,Mexico,North America,84.92,8.17,7.75,8.0,7.75,7.83,7.5,7.92,1
112,113,Arabica,Brazil,South America,84.92,7.75,8.0,7.92,7.75,7.75,8.0,7.75,1
113,114,Arabica,Brazil,South America,84.92,7.92,8.0,8.0,7.75,8.0,7.5,7.75,1
114,115,Arabica,Kenya,Africa,84.92,7.58,8.0,7.67,7.83,8.17,7.92,7.75,1
115,116,Arabica,Taiwan,Asia,84.83,8.0,7.92,7.58,7.83,7.83,7.83,7.83,1
116,117,Arabica,Uganda,Africa,84.83,7.83,7.75,7.92,7.67,7.67,8.25,7.75,1
117,118,Arabica,United States of America,North America,84.83,8.08,7.67,7.75,7.75,7.75,7.83,8.0,1
118,119,Arabica,Ethiopia,Africa,84.83,8.0,7.75,7.92,7.83,7.92,7.75,7.67,1
119,120,Arabica,Ethiopia,Africa,84.83,7.92,7.42,7.92,7.92,8.0,7.83,7.83,1
120,121,Arabica,Thailand,Asia,84.75,8.0,7.75,7.75,7.75,7.75,8.0,7.75,1
121,122,Arabica,Kenya,Africa,84.75,7.92,7.92,7.83,7.58,7.92,7.75,7.83,1
122,123,Arabica,Honduras,North America,84.75,8.17,7.83,7.75,8.0,7.67,7.67,7.67,1
123,124,Arabica,El Salvador,North America,84.75,7.75,7.75,8.0,8.0,8.33,7.67,7.92,1
124,125,Arabica,Nicaragua,North America,84.75,8.5,7.83,7.58,7.58,7.83,7.75,7.67,1
125,126,Arabica,El Salvador,North America,84.67,8.0,7.83,7.83,7.5,8.0,7.83,7.67,1
126,127,Arabica,Indonesia,Asia,84.67,7.92,7.92,7.83,7.75,7.75,7.75,7.75,1
127,128,Arabica,Japan,Asia,84.67,8.08,7.75,7.75,7.75,7.42,8.08,7.83,1
128,129,Arabica,Costa Rica,North America,84.67,7.92,8.08,7.75,7.67,7.83,7.5,7.92,1
129,130,Arabica,Guatemala,North America,84.67,7.83,7.75,7.83,7.58,8.0,7.92,7.75,1
130,131,Arabica,Costa Rica,North America,84.67,7.92,8.17,8.0,7.83,7.17,7.83,7.75,1
131,132,Arabica,Ethiopia,Africa,84.67,7.92,8.08,7.83,7.75,7.83,7.58,7.67,1
132,133,Arabica,Costa Rica,North America,84.67,7.67,7.67,7.58,7.75,7.75,7.67,8.58,1
133,134,Arabica,Costa Rica,North America,84.67,8.0,8.0,7.58,7.83,7.75,7.75,7.75,1
134,135,Arabica,Costa Rica,North America,84.67,7.92,8.08,7.83,7.75,7.83,7.92,8.0,1
135,136,Arabica,Taiwan,Asia,84.67,7.75,8.0,7.92,7.75,7.75,7.75,7.75,1
136,137,Arabica,Colombia,South America,84.67,7.92,7.75,7.83,7.75,7.83,7.75,7.83,1
137,138,Arabica,Kenya,Africa,84.67,7.83,7.75,7.92,7.83,8.0,7.58,7.75,1
138,139,Arabica,Guatemala,North America,84.67,7.67,8.0,7.83,7.67,7.83,7.67,8.0,1
139,140,Arabica,Guatemala,North America,84.67,8.0,7.67,7.83,7.67,8.0,7.67,7.83,1
140,141,Arabica,Mexico,North America,84.67,7.92,7.83,7.58,7.67,7.92,7.92,7.83,1
141,142,Arabica,Uganda,Africa,84.67,7.83,7.92,7.83,7.75,7.92,7.67,7.75,1
142,143,Arabica,Peru,South America,84.67,7.92,7.67,7.83,7.75,7.75,7.92,7.83,1
143,144,Arabica,Ethiopia,Africa,84.67,7.83,7.42,7.75,7.75,8.0,8.0,7.92,1
144,145,Arabica,Kenya,Africa,84.58,7.83,7.92,7.75,7.83,7.75,7.58,7.92,1
145,146,Arabica,Colombia,South America,84.58,8.08,7.83,7.67,7.58,7.92,7.67,7.83,1
146,147,Arabica,Colombia,South America,84.58,7.75,7.92,7.83,7.58,8.0,7.83,7.67,1
147,148,Arabica,Kenya,Africa,84.58,7.92,7.83,7.83,7.83,7.75,7.58,7.83,1
148,149,Arabica,Guatemala,North America,84.58,7.83,7.75,7.83,7.67,7.92,7.75,7.83,1
149,150,Arabica,Guatemala,North America,84.58,8.17,8.0,7.92,7.67,7.58,7.58,7.67,1
150,151,Arabica,Colombia,South America,84.58,7.83,7.67,7.67,7.58,7.75,7.58,8.5,1
151,152,Arabica,Colombia,South America,84.58,7.92,7.75,7.75,7.83,7.75,7.58,8.0,1
152,153,Arabica,Kenya,Africa,84.58,7.75,7.75,7.75,7.75,8.08,7.75,7.75,1
153,154,Arabica,Colombia,South America,84.58,7.75,7.67,7.83,7.83,8.0,7.58,7.92,1
154,155,Arabica,Costa Rica,North America,84.58,7.75,7.75,7.83,7.75,8.0,7.83,7.67,1
155,156,Arabica,Colombia,South America,84.58,8.08,7.42,7.67,7.75,7.75,8.08,7.83,1
156,157,Arabica,Brazil,South America,84.58,7.75,8.0,8.0,7.75,7.75,7.58,7.75,1
157,158,Arabica,Brazil,South America,84.58,7.5,8.5,8.0,7.5,7.75,7.5,7.83,1
158,159,Arabica,Costa Rica,North America,84.5,8.0,7.92,7.67,7.92,7.75,7.67,7.58,1
159,160,Arabica,Uganda,Africa,84.5,7.83,7.92,7.75,7.67,7.75,7.83,7.75,1
160,161,Arabica,China,Asia,84.5,7.92,7.75,7.92,7.67,7.83,7.75,7.67,1
161,162,Arabica,Costa Rica,North America,84.5,7.92,7.92,7.83,7.83,7.83,7.58,7.58,1
162,163,Arabica,Colombia,South America,84.5,7.75,8.08,7.67,7.83,7.83,7.67,7.67,1
163,164,Arabica,China,Asia,84.5,7.92,7.67,8.0,7.75,7.83,7.75,7.58,1
164,165,Arabica,Guatemala,North America,84.5,7.5,8.17,7.83,7.67,7.83,7.67,7.83,1
165,166,Arabica,Kenya,Africa,84.5,7.67,7.92,7.83,7.67,8.0,7.67,7.75,1
166,167,Arabica,Mexico,North America,84.5,7.92,8.0,7.92,7.42,8.08,7.5,7.67,1
167,168,Arabica,Mexico,North America,84.5,7.67,7.92,7.83,7.75,7.75,7.75,7.83,1
168,169,Arabica,Guatemala,North America,84.5,7.83,7.67,8.0,7.67,8.0,7.5,7.83,1
169,170,Arabica,Brazil,South America,84.5,8.13,7.81,7.81,7.88,7.75,7.38,8.25,1
170,171,Arabica,Brazil,South America,84.5,7.75,8.17,7.67,7.75,7.75,7.67,7.75,1
171,172,Arabica,Costa Rica,North America,84.42,7.92,7.58,7.83,7.83,8.0,7.67,7.58,1
172,173,Arabica,Indonesia,Asia,84.42,8.0,7.67,7.67,7.83,7.58,7.83,7.83,1
173,174,Arabica,Colombia,South America,84.42,7.67,7.92,7.83,7.75,7.67,7.92,7.67,1
174,175,Arabica,Colombia,South America,84.42,7.75,7.92,7.75,7.67,7.92,7.67,7.75,1
175,176,Arabica,Taiwan,Asia,84.42,7.75,7.83,7.83,7.75,8.0,7.5,7.75,1
176,177,Arabica,United States of America,North America,84.42,7.83,7.92,7.92,7.5,7.83,7.5,7.92,1
177,178,Arabica,Mexico,North America,84.42,7.83,7.75,7.92,7.75,7.67,7.83,7.67,1
178,179,Arabica,Ethiopia,Africa,84.42,7.75,7.5,7.75,7.83,7.92,7.92,7.75,1
179,180,Arabica,Kenya,Africa,84.33,8.17,7.33,7.58,7.83,7.75,7.75,7.92,1
180,181,Arabica,Honduras,North America,84.33,7.58,7.92,8.0,7.75,7.67,7.67,7.75,1
181,182,Arabica,Colombia,South America,84.33,7.5,7.58,7.75,7.5,7.83,7.67,8.5,1
182,183,Arabica,Honduras,North America,84.33,7.83,7.58,7.92,7.58,7.75,7.92,7.75,1
183,184,Arabica,Colombia,South America,84.33,7.83,7.67,7.67,7.75,7.83,7.75,7.83,1
184,185,Arabica,Colombia,South America,84.33,7.33,7.75,7.67,8.0,7.67,8.08,7.83,1
185,186,Arabica,Colombia,South America,84.33,8.17,7.75,7.58,7.33,7.83,7.58,8.08,1
186,187,Arabica,Mexico,North America,84.33,7.83,8.0,7.75,7.75,7.83,7.5,7.67,1
187,188,Arabica,Brazil,South America,84.33,7.75,8.17,8.0,7.5,7.75,7.5,7.67,1
188,189,Arabica,Brazil,South America,84.33,7.92,8.0,8.0,7.5,7.5,7.67,7.75,1
189,190,Arabica,Ethiopia,Africa,84.33,7.75,7.75,7.75,7.92,7.75,7.5,7.92,1
190,191,Arabica,Guatemala,North America,84.33,7.92,7.5,7.67,7.75,7.67,7.92,7.92,1
191,192,Arabica,Taiwan,Asia,84.25,7.67,7.92,7.75,7.75,7.67,7.67,7.83,1
192,193,Arabica,Thailand,Asia,84.25,8.0,7.83,7.75,7.75,7.42,7.83,7.67,1
193,194,Arabica,Colombia,South America,84.25,7.83,7.83,7.58,7.75,7.58,7.67,8.0,1
194,195,Arabica,Guatemala,North America,84.25,7.75,7.75,7.75,7.58,7.92,7.75,7.75,1
195,196,Arabica,Guatemala,North America,84.25,7.75,7.75,7.92,7.5,8.08,7.58,7.67,1
196,197,Arabica,China,Asia,84.25,7.75,7.83,7.83,7.58,7.75,7.75,7.75,1
197,198,Arabica,Colombia,South America,84.25,7.83,7.67,7.67,7.75,7.75,7.67,7.92,1
198,199,Arabica,Colombia,South America,84.25,7.75,7.83,7.67,7.75,7.58,7.92,7.75,1
199,200,Arabica,Colombia,South America,84.25,7.83,7.83,7.75,7.83,7.58,7.67,7.75,1
200,201,Arabica,Colombia,South America,84.25,7.83,7.42,7.67,7.83,7.75,7.92,7.83,1
201,202,Arabica,Tanzania,Africa,84.25,7.83,7.83,7.67,7.75,7.83,7.67,7.67,1
202,203,Arabica,Tanzania,Africa,84.25,7.75,7.83,7.75,7.75,7.75,7.67,7.75,1
203,204,Arabica,Guatemala,North America,84.25,7.83,7.83,7.83,7.5,7.92,7.58,7.75,1
204,205,Arabica,Colombia,South America,84.25,7.83,7.58,7.5,7.75,7.83,7.92,7.83,1
205,206,Arabica,United States of America,North America,84.25,7.83,7.33,7.92,7.92,7.92,7.92,8.08,1
206,207,Arabica,Mexico,North America,84.25,7.75,7.83,7.92,7.67,7.83,7.5,7.75,1
207,208,Arabica,Mexico,North America,84.25,7.75,7.83,7.83,7.75,7.67,7.83,7.58,1
208,209,Arabica,Mexico,North America,84.25,7.83,7.83,7.92,7.67,7.75,7.5,7.75,1
209,210,Arabica,Uganda,Africa,84.25,7.67,8.17,7.75,7.58,7.67,7.83,7.58,1
210,211,Arabica,Guatemala,North America,84.17,7.75,7.75,7.83,7.58,7.83,7.67,7.75,1
211,212,Arabica,Colombia,South America,84.17,7.75,7.83,7.75,7.58,7.67,7.75,7.83,1
212,213,Arabica,Costa Rica,North America,84.17,8.0,7.92,7.75,7.67,7.67,7.5,7.67,1
213,214,Arabica,Guatemala,North America,84.17,7.58,7.75,7.75,7.58,8.0,7.67,7.83,1
214,215,Arabica,Guatemala,North America,84.17,7.67,7.75,7.92,7.58,7.92,7.67,7.67,1
215,216,Arabica,Guatemala,North America,84.17,7.83,7.58,7.83,7.58,7.83,7.83,7.67,1
216,217,Arabica,Colombia,South America,84.17,7.67,8.0,7.5,7.5,7.67,8.0,7.83,1
217,218,Arabica,Nicaragua,North America,84.17,7.83,7.67,7.83,7.83,7.5,7.67,7.83,1
218,219,Arabica,Brazil,South America,84.17,7.75,7.67,7.75,7.75,7.67,7.83,7.75,1
219,220,Arabica,Costa Rica,North America,84.17,7.83,7.67,7.75,7.67,7.75,7.5,8.0,1
220,221,Arabica,Ethiopia,Africa,84.17,7.75,7.5,7.92,7.58,7.83,7.75,7.83,1
221,222,Arabica,Tanzania,Africa,84.17,7.67,7.92,7.75,7.75,7.75,7.75,7.58,1
222,223,Arabica,Colombia,South America,84.17,7.5,7.67,7.5,7.67,7.42,7.83,8.58,1
223,224,Arabica,Guatemala,North America,84.17,7.83,7.67,7.75,7.67,7.75,7.75,7.75,1
224,225,Arabica,Kenya,Africa,84.17,7.75,7.58,7.75,7.75,7.75,7.75,7.83,1
225,226,Arabica,Brazil,South America,84.17,7.67,7.58,7.83,7.75,7.67,7.67,8.0,1
226,227,Arabica,Guatemala,North America,84.17,7.42,7.92,7.75,7.67,7.67,7.83,7.92,1
227,228,Arabica,El Salvador,North America,84.17,7.92,8.42,8.08,7.5,7.17,7.58,8.17,1
228,229,Arabica,Colombia,South America,84.17,7.58,7.75,7.75,7.75,7.75,7.83,7.75,1
229,230,Arabica,Guatemala,North America,84.17,7.67,7.83,7.5,7.5,8.0,7.83,7.83,1
230,231,Arabica,Uganda,Africa,84.17,7.67,7.83,7.75,7.5,7.83,7.83,7.75,1
231,232,Arabica,Indonesia,Asia,84.13,7.75,7.81,7.88,7.56,7.75,7.63,7.75,1
232,233,Arabica,Colombia,South America,84.08,7.5,7.83,7.5,7.42,7.5,7.83,8.5,1
233,234,Arabica,Taiwan,Asia,84.08,7.92,7.58,7.67,7.67,7.67,7.75,7.83,1
234,235,Arabica,Guatemala,North America,84.08,7.67,8.0,7.75,7.5,7.58,7.92,7.67,1
235,236,Arabica,Colombia,South America,84.08,7.67,7.92,7.75,7.67,7.75,7.67,7.67,1
236,237,Arabica,Guatemala,North America,84.08,7.67,7.58,7.75,7.67,8.0,7.75,7.67,1
237,238,Arabica,United States of America,North America,84.08,8.0,7.83,7.75,7.83,7.83,7.42,8.08,1
238,239,Arabica,Mexico,North America,84.08,7.83,7.67,7.75,7.67,7.75,7.67,7.75,1
239,240,Arabica,Ethiopia,Africa,84.08,7.92,7.92,7.92,7.83,8.0,7.92,7.92,1
240,241,Arabica,Costa Rica,North America,84.0,7.67,7.58,7.75,7.67,7.75,7.83,7.75,1
241,242,Arabica,Ethiopia,Africa,84.0,7.92,7.83,7.75,7.67,7.75,7.33,7.75,1
242,243,Arabica,Honduras,North America,84.0,7.75,7.42,7.83,7.75,7.92,7.75,7.58,1
243,244,Arabica,Guatemala,North America,84.0,7.58,7.67,7.83,7.58,7.92,7.75,7.67,1
244,245,Arabica,Colombia,South America,84.0,7.83,7.67,7.67,7.83,7.58,7.58,7.83,1
245,246,Arabica,Guatemala,North America,84.0,7.5,7.92,7.67,7.42,7.92,7.75,7.83,1
246,247,Arabica,Guatemala,North America,84.0,7.83,7.75,7.83,7.5,7.83,7.58,7.67,1
247,248,Arabica,Colombia,South America,84.0,7.83,7.67,7.75,7.67,7.67,7.67,7.75,1
248,249,Arabica,Colombia,South America,84.0,7.67,7.58,7.42,7.75,7.92,7.75,7.92,1
249,250,Arabica,Colombia,South America,84.0,8.33,7.67,7.67,7.5,7.5,7.67,7.67,1
250,251,Arabica,Ethiopia,Africa,84.0,7.83,7.75,7.75,7.5,7.58,7.67,7.92,1
251,252,Arabica,Brazil,South America,84.0,7.92,7.58,7.83,7.67,7.25,8.0,7.75,1
252,253,Arabica,Colombia,South America,84.0,7.67,7.67,7.83,7.67,7.75,7.67,7.75,1
253,254,Arabica,Kenya,Africa,84.0,7.67,7.67,7.83,7.5,7.75,7.92,7.67,1
254,255,Arabica,Thailand,Asia,84.0,8.42,7.92,8.17,8.17,8.42,8.08,8.17,1
255,256,Arabica,Kenya,Africa,84.0,7.67,7.67,7.75,7.67,7.75,7.83,7.67,1
256,257,Arabica,Uganda,Africa,84.0,7.58,7.92,7.75,7.58,7.67,7.67,7.83,1
257,258,Arabica,Thailand,Asia,84.0,8.0,7.58,7.75,7.58,7.75,7.58,7.75,1
258,259,Arabica,Brazil,South America,83.92,8.5,7.5,7.75,7.58,7.5,7.58,7.5,1
259,260,Arabica,Mexico,North America,83.92,7.83,7.83,7.83,7.58,7.92,7.42,7.5,1
260,261,Arabica,Thailand,Asia,83.92,7.83,7.67,7.75,7.5,7.67,7.67,7.83,1
261,262,Arabica,Brazil,South America,83.92,7.83,7.58,7.67,7.67,7.75,7.58,7.83,1
262,263,Arabica,Taiwan,Asia,83.92,7.83,7.83,7.75,7.83,7.75,7.83,7.75,1
263,264,Arabica,Colombia,South America,83.92,7.67,7.75,7.67,7.5,7.75,7.83,7.75,1
264,265,Arabica,Colombia,South America,83.92,7.58,7.75,7.58,7.5,7.83,7.75,7.92,1
265,266,Arabica,Taiwan,Asia,83.92,7.67,7.75,7.75,7.58,7.75,7.75,7.67,1
266,267,Arabica,Colombia,South America,83.92,7.75,7.92,7.67,7.5,7.83,7.58,7.67,1
